"code_module","code_presentation","id_student","id_site","date","sum_click"
"DDD","2013B",558488,547945,112,2
"FFF","2013B",554748,526738,47,1
"FFF","2013B",530445,526721,121,2
"FFF","2013B",107162,526738,45,2
"FFF","2013B",153785,526823,-13,3
"FFF","2013B",540581,527261,131,1
"FFF","2013B",43430,527219,-14,13
"FFF","2013B",241166,526849,23,7
"BBB","2013B",551172,543273,13,1
"DDD","2013B",307932,547674,21,1
"FFF","2013B",359640,526737,43,6
"DDD","2013B",545704,547967,143,1
"FFF","2013B",420673,526735,-5,4
"FFF","2013B",234727,526738,141,1
"FFF","2013B",2090053,526721,21,4
"DDD","2013B",487711,547761,147,1
"FFF","2013B",2567054,526853,100,7
"FFF","2013B",107162,527129,61,2
"BBB","2013B",556502,542811,124,1
"BBB","2013B",409662,542864,7,1
"FFF","2013B",469743,527358,8,1
"DDD","2013B",548996,547640,15,2
"DDD","2013B",517646,547272,125,10
"FFF","2013B",551397,527479,163,1
"BBB","2013B",477167,542864,71,1
"FFF","2013B",558208,526794,181,8
"FFF","2013B",539241,526721,219,2
"FFF","2013B",1809578,526737,146,5
"BBB","2013B",551906,543189,-9,2
"FFF","2013B",558772,526721,6,1
"FFF","2013B",545379,526833,156,5
"FFF","2013B",518831,526737,220,1
"FFF","2013B",540727,527169,11,2
"DDD","2013B",532695,547310,121,1
"FFF","2013B",398040,527369,66,3
"DDD","2013B",465260,547605,183,2
"FFF","2013B",999174,526738,-8,4
"FFF","2013B",558597,527115,65,2
"BBB","2013B",552701,543071,195,1
"FFF","2013B",2474925,526738,45,6
"DDD","2013B",445134,547303,75,1
"FFF","2013B",379558,527203,104,2
"FFF","2013B",2686074,527169,-18,1
"DDD","2013B",539209,547945,184,2
"FFF","2013B",2521655,526737,72,4
"BBB","2013B",496220,542895,170,1
"DDD","2013B",554995,547277,46,1
"FFF","2013B",529175,527115,72,1
"FFF","2013B",1562320,526855,10,1
"FFF","2013B",543798,526830,186,3
"BBB","2013B",496070,542802,183,1
"FFF","2013B",557840,527203,149,5
"FFF","2013B",254044,527169,28,1
"BBB","2013B",561461,542797,58,4
"DDD","2013B",2615892,547838,79,1
"BBB","2013B",499511,542811,204,1
"BBB","2013B",528261,542864,22,2
"DDD","2013B",528846,547546,38,11
"BBB","2013B",2591421,542864,120,3
"FFF","2013B",467725,527147,5,1
"FFF","2013B",558915,526735,7,1
"BBB","2013B",263499,543058,10,4
"BBB","2013B",1753965,542807,201,5
"DDD","2013B",77763,547552,128,1
"DDD","2013B",307290,547726,226,1
"FFF","2013B",354171,527356,2,1
"FFF","2013B",504243,526745,131,3
"FFF","2013B",480984,526821,-15,4
"FFF","2013B",551397,527524,145,2
"BBB","2013B",479516,542811,14,1
"DDD","2013B",309580,547930,-16,1
"FFF","2013B",131272,526721,72,2
"DDD","2013B",309580,547966,46,7
"FFF","2013B",551027,526721,10,1
"DDD","2013B",410886,547903,215,1
"FFF","2013B",530344,526738,143,5
"DDD","2013B",443297,547303,167,1
"FFF","2013B",528270,527170,-6,1
"BBB","2013B",558250,542807,87,3
"FFF","2013B",550495,527114,23,4
"BBB","2013B",510141,542811,44,18
"BBB","2013B",262741,542807,114,8
"DDD","2013B",96592,547272,-4,1
"BBB","2013B",513757,542811,121,4
"BBB","2013B",501550,542807,28,4
"FFF","2013B",523833,527167,148,4
"FFF","2013B",510883,527473,56,1
"DDD","2013B",2332060,547895,196,2
"FFF","2013B",238901,527215,81,1
"DDD","2013B",524378,547305,53,1
"FFF","2013B",415988,527114,52,1
"DDD","2013B",441201,547272,124,1
"FFF","2013B",544295,527130,40,3
"BBB","2013B",483064,542811,80,5
"FFF","2013B",534037,527170,54,1
"BBB","2013B",2522093,542807,42,2
"DDD","2013B",1384882,547546,46,3
"DDD","2013B",1611842,547272,-4,4
"BBB","2013B",551702,542864,14,1
"BBB","2013B",561458,542864,158,3
"FFF","2013B",520187,527261,133,2
"BBB","2013B",34229,543301,1,1
"FFF","2013B",110116,527218,-12,1
"FFF","2013B",142339,527185,177,2
"FFF","2013B",2647043,526749,76,1
"DDD","2013B",498835,547791,10,1
"FFF","2013B",425748,527215,87,1
"FFF","2013B",554748,526738,27,4
"FFF","2013B",499993,527106,75,1
"FFF","2013B",532578,526744,220,8
"FFF","2013B",142339,526738,119,2
"BBB","2013B",500791,542895,182,1
"BBB","2013B",548617,542864,90,2
"BBB","2013B",505606,543039,72,1
"FFF","2013B",498269,526737,4,2
"FFF","2013B",351500,527109,204,2
"BBB","2013B",529446,542864,163,4
"BBB","2013B",513093,542864,208,3
"DDD","2013B",466158,547882,32,1
"FFF","2013B",72693,526735,-12,4
"BBB","2013B",543853,542864,126,5
"FFF","2013B",551791,527376,88,2
"BBB","2013B",2616787,542864,134,2
"FFF","2013B",1531287,526801,136,1
"FFF","2013B",528075,527491,13,1
"DDD","2013B",476964,547947,194,1
"FFF","2013B",147168,527113,48,1
"DDD","2013B",410886,547303,172,5
"FFF","2013B",999174,526776,119,1
"FFF","2013B",559325,527109,113,3
"FFF","2013B",2195318,526789,175,26
"BBB","2013B",410739,542811,23,2
"FFF","2013B",254325,526738,170,4
"FFF","2013B",526417,526744,170,19
"FFF","2013B",558692,527115,208,2
"DDD","2013B",173004,547848,20,1
"FFF","2013B",530862,526763,172,1
"DDD","2013B",521742,547542,91,4
"FFF","2013B",2419926,526801,48,39
"FFF","2013B",559594,526721,13,2
"DDD","2013B",2513245,547276,44,2
"FFF","2013B",483997,526721,151,6
"FFF","2013B",554372,526819,120,1
"BBB","2013B",467756,543113,18,2
"BBB","2013B",401339,542804,86,1
"FFF","2013B",431268,526721,27,1
"BBB","2013B",483109,542864,47,6
"BBB","2013B",442456,543181,204,1
"BBB","2013B",541973,542864,14,1
"BBB","2013B",2019837,543066,43,2
"FFF","2013B",119353,526812,67,1
"FFF","2013B",547581,527491,-12,1
"DDD","2013B",550064,547825,8,3
"FFF","2013B",558098,526721,69,3
"DDD","2013B",442865,547303,6,1
"DDD","2013B",320014,547303,160,8
"FFF","2013B",2514431,527169,43,2
"DDD","2013B",366310,547738,174,1
"FFF","2013B",546464,527526,170,2
"FFF","2013B",1073767,526721,7,12
"FFF","2013B",559058,527218,17,1
"DDD","2013B",414803,547272,3,5
"DDD","2013B",442545,547947,96,2
"DDD","2013B",502136,547895,150,1
"FFF","2013B",478279,527114,207,23
"FFF","2013B",999174,527192,192,2
"DDD","2013B",546826,547932,168,1
"FFF","2013B",510186,527163,17,11
"DDD","2013B",2063578,547303,47,17
"DDD","2013B",426871,547546,35,1
"DDD","2013B",557751,547937,22,1
"FFF","2013B",524431,527407,0,1
"FFF","2013B",68208,526831,220,2
"FFF","2013B",400004,527163,16,2
"FFF","2013B",538202,526821,5,3
"DDD","2013B",415695,547272,122,5
"FFF","2013B",539922,527438,-5,1
"FFF","2013B",234196,527231,-18,1
"FFF","2013B",558907,526721,8,15
"FFF","2013B",387447,526834,219,11
"FFF","2013B",557908,526738,3,3
"BBB","2013B",2249372,542864,113,11
"FFF","2013B",125996,526841,50,20
"BBB","2013B",390220,542891,52,7
"DDD","2013B",549783,547303,130,6
"FFF","2013B",346207,527144,171,2
"FFF","2013B",557388,526738,80,1
"DDD","2013B",1913872,547272,36,1
"DDD","2013B",503120,547707,217,1
"BBB","2013B",558068,542893,121,2
"FFF","2013B",1500410,526721,171,4
"FFF","2013B",560404,526738,75,2
"DDD","2013B",543386,547556,15,1
"DDD","2013B",532745,547303,131,3
"FFF","2013B",530862,527353,41,1
"DDD","2013B",495734,547277,17,1
"DDD","2013B",234740,547303,14,5
"BBB","2013B",543853,542864,158,4
"FFF","2013B",470786,526721,48,4
"DDD","2013B",441389,547308,206,2
"FFF","2013B",1930949,527219,30,2
"FFF","2013B",2567054,527169,155,3
"DDD","2013B",382497,547272,113,1
"BBB","2013B",510492,542811,89,3
"FFF","2013B",487168,526820,16,1
"BBB","2013B",558602,543253,3,1
"DDD","2013B",381646,547968,104,1
"FFF","2013B",534892,527230,163,1
"BBB","2013B",433755,542811,87,5
"BBB","2013B",554930,542794,7,1
"FFF","2013B",267602,527261,128,2
"FFF","2013B",2578992,527179,115,2
"DDD","2013B",249423,547947,81,1
"FFF","2013B",234727,526819,10,1
"FFF","2013B",520097,527179,62,1
"FFF","2013B",2140087,526721,16,5
"FFF","2013B",558404,526738,46,2
"FFF","2013B",542653,526735,193,1
"FFF","2013B",2514949,526738,220,1
"FFF","2013B",157308,527203,87,1
"DDD","2013B",131145,547272,105,1
"DDD","2013B",435423,547270,73,1
"FFF","2013B",557345,526738,153,1
"DDD","2013B",506767,547542,118,1
"FFF","2013B",523940,527114,3,1
"FFF","2013B",554908,527402,102,1
"FFF","2013B",99993,526721,106,1
"FFF","2013B",550813,526738,36,1
"FFF","2013B",529486,526821,31,10
"FFF","2013B",422087,527215,81,1
"BBB","2013B",377759,542807,157,3
"DDD","2013B",537138,547902,22,1
"FFF","2013B",500652,526774,54,1
"FFF","2013B",560182,526721,106,2
"BBB","2013B",556898,542864,74,11
"FFF","2013B",554664,527420,186,1
"DDD","2013B",551183,547896,44,1
"FFF","2013B",336258,526844,32,17
"BBB","2013B",374234,543058,46,1
"FFF","2013B",522023,527388,18,2
"FFF","2013B",490082,527204,169,1
"FFF","2013B",2514431,526855,-8,1
"FFF","2013B",467700,527448,114,1
"BBB","2013B",531427,542864,97,3
"FFF","2013B",550763,526721,-16,1
"BBB","2013B",39655,542811,71,2
"DDD","2013B",557924,547272,30,2
"FFF","2013B",532579,526845,18,29
"DDD","2013B",131145,547542,113,16
"DDD","2013B",2633235,547947,40,2
"FFF","2013B",345064,527112,194,1
"FFF","2013B",275151,527126,184,6
"DDD","2013B",2611779,547303,109,1
"FFF","2013B",424544,526721,45,6
"DDD","2013B",391185,547545,195,2
"FFF","2013B",551212,527115,23,1
"BBB","2013B",550707,543180,214,2
"DDD","2013B",369908,547945,213,2
"FFF","2013B",2654409,526721,3,3
"DDD","2013B",60135,547838,30,2
"FFF","2013B",323809,527204,6,1
"FFF","2013B",324305,527114,-2,32
"FFF","2013B",531190,526834,218,17
"FFF","2013B",558915,527197,8,2
"DDD","2013B",2063578,547303,5,16
"FFF","2013B",556924,527169,185,2
"FFF","2013B",437752,527134,6,1
"BBB","2013B",511306,542807,138,1
"DDD","2013B",540848,547542,127,2
"FFF","2013B",541521,526745,186,3
"FFF","2013B",541101,526721,57,3
"BBB","2013B",535152,542797,62,1
"BBB","2013B",484768,542797,57,2
"DDD","2013B",2418045,547307,42,1
"FFF","2013B",1097354,526735,227,1
"BBB","2013B",363660,542810,114,2
"FFF","2013B",479764,526721,134,5
"BBB","2013B",298322,542803,216,1
"BBB","2013B",298476,542807,44,20
"DDD","2013B",528034,547539,145,24
"FFF","2013B",550470,527179,62,1
"DDD","2013B",180667,547271,18,2
"DDD","2013B",475883,547303,18,7
"BBB","2013B",263499,542807,199,7
"DDD","2013B",557742,547272,81,1
"DDD","2013B",525820,547303,18,9
"BBB","2013B",488425,542811,35,3
"DDD","2013B",2377623,547942,199,2
"DDD","2013B",309580,547967,47,1
"BBB","2013B",92947,542811,43,1
"DDD","2013B",364405,547272,95,1
"DDD","2013B",252149,547953,50,1
"FFF","2013B",535052,526738,7,2
"FFF","2013B",525490,526721,3,7
"DDD","2013B",557846,547947,105,1
"FFF","2013B",1919940,527122,154,1
"DDD","2013B",560114,547272,44,4
"DDD","2013B",529863,547844,16,1
"FFF","2013B",543785,526823,114,4
"DDD","2013B",542476,547845,22,1
"FFF","2013B",560199,526721,76,5
"DDD","2013B",556918,547305,54,3
"FFF","2013B",517850,526721,27,10
"FFF","2013B",536591,526787,204,7
"DDD","2013B",2571497,547303,89,1
"FFF","2013B",1464952,526738,120,2
"FFF","2013B",377274,527219,15,1
"FFF","2013B",549370,527170,80,1
"FFF","2013B",1870830,527521,24,1
"FFF","2013B",515938,527113,69,1
"FFF","2013B",82817,527171,219,1
"FFF","2013B",529644,527527,171,1
"BBB","2013B",537434,542893,115,1
"BBB","2013B",547757,542808,13,1
"DDD","2013B",516450,547270,178,1
"DDD","2013B",234740,547557,135,24
"BBB","2013B",437562,543068,221,4
"DDD","2013B",435780,547967,-7,1
"FFF","2013B",60519,526831,53,4
"FFF","2013B",548926,526738,26,1
"DDD","2013B",523392,547303,-1,9
"DDD","2013B",366310,547272,115,2
"BBB","2013B",548617,543301,-2,1
"BBB","2013B",186988,542800,55,2
"FFF","2013B",331883,526819,26,1
"FFF","2013B",499354,527109,221,7
"FFF","2013B",559058,527204,197,1
"BBB","2013B",533697,542807,5,2
"DDD","2013B",480929,547303,166,4
"BBB","2013B",547620,542892,80,2
"DDD","2013B",500006,547303,15,1
"BBB","2013B",263499,542811,8,5
"DDD","2013B",536696,547810,4,1
"FFF","2013B",544479,527169,227,3
"FFF","2013B",1073767,526737,82,3
"FFF","2013B",523940,526721,19,21
"FFF","2013B",473162,527521,202,1
"BBB","2013B",539303,543068,-5,1
"FFF","2013B",559155,527203,24,3
"BBB","2013B",537572,542808,-5,5
"FFF","2013B",526303,527169,9,1
"FFF","2013B",373135,527507,45,1
"FFF","2013B",553649,526738,0,3
"FFF","2013B",520187,526721,128,2
"DDD","2013B",533877,547546,17,2
"FFF","2013B",553155,526737,162,2
"FFF","2013B",227401,527179,59,3
"FFF","2013B",537687,527218,-6,2
"DDD","2013B",556370,547303,119,1
"FFF","2013B",528734,527116,201,1
"FFF","2013B",487168,527169,60,1
"FFF","2013B",2553363,527112,200,11
"FFF","2013B",2346679,526738,42,2
"FFF","2013B",420673,526721,41,55
"FFF","2013B",494165,526721,0,5
"DDD","2013B",557924,547947,68,2
"DDD","2013B",504819,547546,29,4
"BBB","2013B",78645,542807,88,1
"DDD","2013B",502697,547303,198,1
"DDD","2013B",470921,547855,123,1
"DDD","2013B",474633,547303,201,3
"FFF","2013B",508068,526721,206,1
"FFF","2013B",528713,526831,83,3
"BBB","2013B",551886,543058,31,1
"FFF","2013B",405219,526721,159,9
"FFF","2013B",558098,526789,214,12
"FFF","2013B",549014,526831,89,5
"DDD","2013B",171896,547644,126,1
"FFF","2013B",553104,526721,220,4
"FFF","2013B",480014,526739,160,11
"BBB","2013B",350622,543188,30,1
"FFF","2013B",529762,527225,128,2
"DDD","2013B",516010,547674,8,1
"FFF","2013B",551730,527218,-17,1
"FFF","2013B",477185,526738,23,5
"DDD","2013B",2633235,547557,139,1
"FFF","2013B",548969,526738,23,2
"BBB","2013B",527886,542811,10,10
"BBB","2013B",502717,543116,223,1
"FFF","2013B",540577,527507,9,1
"DDD","2013B",2636225,547303,48,4
"BBB","2013B",538221,542864,5,9
"BBB","2013B",502717,543062,104,1
"FFF","2013B",539886,526738,10,4
"DDD","2013B",173004,547960,18,1
"FFF","2013B",558628,527350,6,1
"DDD","2013B",549913,547303,204,2
"FFF","2013B",150763,526737,185,1
"FFF","2013B",549369,526738,130,2
"FFF","2013B",527601,527204,10,2
"DDD","2013B",344873,547303,101,1
"BBB","2013B",514140,542807,190,9
"FFF","2013B",170165,527114,215,15
"DDD","2013B",525066,547947,133,1
"FFF","2013B",555609,527471,-9,1
"FFF","2013B",2142853,526738,10,3
"DDD","2013B",150578,547303,19,4
"FFF","2013B",383316,526738,211,2
"FFF","2013B",529240,527353,18,1
"DDD","2013B",498835,547832,23,1
"DDD","2013B",45664,547918,21,1
"FFF","2013B",537980,527425,200,1
"DDD","2013B",169894,547848,21,1
"FFF","2013B",491004,527261,153,2
"DDD","2013B",531069,547617,30,1
"FFF","2013B",478432,526782,220,1
"BBB","2013B",466973,542892,89,2
"FFF","2013B",527744,526844,39,25
"DDD","2013B",417974,547272,137,2
"DDD","2013B",524137,547930,26,1
"DDD","2013B",233771,547539,128,1
"FFF","2013B",537672,527169,82,7
"FFF","2013B",558692,527169,94,1
"FFF","2013B",556210,527203,71,1
"FFF","2013B",541579,526777,132,1
"FFF","2013B",465312,526753,70,1
"FFF","2013B",556351,526739,33,3
"FFF","2013B",322985,527218,44,2
"BBB","2013B",374234,543091,2,2
"BBB","2013B",2291598,542794,62,1
"FFF","2013B",557388,526738,0,3
"BBB","2013B",539365,542795,188,1
"FFF","2013B",426465,526839,54,1
"DDD","2013B",555497,547850,-5,1
"DDD","2013B",344367,547786,-9,1
"DDD","2013B",2585285,547272,4,7
"DDD","2013B",173004,547934,52,1
"BBB","2013B",435245,542807,51,1
"DDD","2013B",366024,547272,126,1
"FFF","2013B",522850,527112,218,2
"FFF","2013B",517062,526824,8,1
"FFF","2013B",543818,526820,16,18
"FFF","2013B",529486,526794,180,1
"FFF","2013B",558208,526738,93,5
"FFF","2013B",324305,526738,27,2
"FFF","2013B",548764,526834,218,7
"FFF","2013B",283055,527430,15,1
"FFF","2013B",543155,527129,43,1
"FFF","2013B",554289,526791,38,1
"DDD","2013B",160005,547275,143,4
"FFF","2013B",558018,527219,9,1
"BBB","2013B",552826,542864,49,3
"FFF","2013B",548459,526757,146,12
"FFF","2013B",558628,526846,194,39
"BBB","2013B",325511,542807,185,2
"DDD","2013B",2279449,547303,199,5
"FFF","2013B",1934810,527115,213,2
"DDD","2013B",81351,547539,142,1
"FFF","2013B",478432,526833,136,8
"DDD","2013B",544091,547964,18,2
"BBB","2013B",556840,542811,35,4
"DDD","2013B",320014,547636,1,1
"FFF","2013B",514969,526721,52,3
"BBB","2013B",557057,543071,10,6
"DDD","2013B",467294,547958,115,2
"FFF","2013B",504157,527203,12,2
"BBB","2013B",2249372,542891,30,17
"DDD","2013B",2639451,547956,-15,1
"BBB","2013B",498065,542807,12,5
"FFF","2013B",508068,526738,23,1
"DDD","2013B",543919,547903,114,1
"FFF","2013B",550763,526797,191,2
"FFF","2013B",550246,526819,17,2
"DDD","2013B",554484,547275,122,9
"FFF","2013B",267602,527497,84,1
"FFF","2013B",265112,527169,174,3
"FFF","2013B",526549,527230,15,2
"FFF","2013B",532428,527223,102,1
"DDD","2013B",555772,547272,68,2
"DDD","2013B",309580,547960,74,1
"DDD","2013B",472060,547272,0,2
"DDD","2013B",556780,547277,33,1
"BBB","2013B",552667,543048,169,1
"DDD","2013B",2456612,547274,54,1
"FFF","2013B",425997,527111,221,2
"DDD","2013B",2063578,547275,162,4
"DDD","2013B",476637,547644,136,3
"DDD","2013B",531924,547702,52,1
"FFF","2013B",520082,526721,15,2
"DDD","2013B",503086,547774,112,1
"BBB","2013B",559608,543020,4,1
"FFF","2013B",546348,526742,139,33
"DDD","2013B",443215,547654,-4,1
"BBB","2013B",513733,542892,96,2
"DDD","2013B",500006,547731,128,1
"DDD","2013B",2418045,547937,164,5
"DDD","2013B",559823,547896,52,1
"BBB","2013B",550077,542864,153,2
"FFF","2013B",558104,526834,214,6
"BBB","2013B",2034350,542807,25,21
"FFF","2013B",534854,526721,78,2
"FFF","2013B",549537,526721,83,1
"FFF","2013B",379558,526833,185,2
"DDD","2013B",180667,547904,15,1
"FFF","2013B",538941,527169,206,3
"BBB","2013B",276717,543055,54,1
"FFF","2013B",558558,526761,69,1
"FFF","2013B",2514431,526721,123,4
"BBB","2013B",557451,542811,109,2
"BBB","2013B",537162,542795,155,3
"FFF","2013B",525700,527407,-9,1
"BBB","2013B",2205383,542864,68,1
"FFF","2013B",149680,526738,161,1
"FFF","2013B",469743,526857,-5,8
"DDD","2013B",305702,547303,23,2
"DDD","2013B",364405,547303,117,2
"FFF","2013B",531709,526757,184,1
"DDD","2013B",550725,547945,156,1
"BBB","2013B",535773,542807,100,14
"FFF","2013B",496470,526751,62,2
"FFF","2013B",520544,527203,17,2
"BBB","2013B",557145,542811,16,1
"DDD","2013B",478213,547272,59,6
"DDD","2013B",531075,547303,125,1
"FFF","2013B",539117,526721,15,1
"DDD","2013B",491108,547303,120,3
"DDD","2013B",561734,547662,1,1
"DDD","2013B",494637,547303,71,4
"FFF","2013B",526549,527170,16,2
"FFF","2013B",151465,527169,133,1
"DDD","2013B",554205,547272,119,2
"DDD","2013B",474633,547272,26,1
"BBB","2013B",477011,542811,183,3
"BBB","2013B",276717,542807,189,9
"FFF","2013B",525700,526721,150,2
"DDD","2013B",554729,547930,-16,3
"FFF","2013B",533172,526721,23,4
"BBB","2013B",550707,543036,107,1
"DDD","2013B",475883,547946,148,1
"FFF","2013B",554592,526738,37,1
"FFF","2013B",411013,527163,26,2
"DDD","2013B",558290,547270,122,1
"FFF","2013B",534792,526801,198,5
"DDD","2013B",548535,547303,79,7
"BBB","2013B",521069,542889,0,2
"FFF","2013B",550272,527204,220,4
"DDD","2013B",549731,547303,80,3
"FFF","2013B",407371,526738,19,3
"FFF","2013B",400632,527178,139,2
"BBB","2013B",561452,542811,188,3
"BBB","2013B",550613,542864,158,1
"DDD","2013B",534203,547622,212,2
"DDD","2013B",270814,547774,184,1
"BBB","2013B",2528966,542864,59,3
"DDD","2013B",366024,547929,112,1
"DDD","2013B",418956,547272,228,4
"BBB","2013B",439857,543055,38,1
"DDD","2013B",424987,547844,21,1
"FFF","2013B",2496748,526737,151,1
"BBB","2013B",477011,542807,175,7
"BBB","2013B",558747,542811,4,1
"DDD","2013B",545083,547556,21,11
"FFF","2013B",99993,527113,170,20
"BBB","2013B",555672,542894,151,1
"DDD","2013B",2332060,547546,40,3
"FFF","2013B",346207,526835,121,2
"BBB","2013B",433755,542864,226,1
"BBB","2013B",34353,542894,159,1
"FFF","2013B",2686875,526789,218,13
"FFF","2013B",544850,526737,-18,6
"BBB","2013B",539572,542891,58,1
"FFF","2013B",479764,526787,201,3
"BBB","2013B",1903527,543038,9,1
"BBB","2013B",504936,542864,158,2
"BBB","2013B",2528966,542864,13,1
"FFF","2013B",523700,526738,117,2
"DDD","2013B",500766,547303,-6,4
"FFF","2013B",383316,526721,149,2
"FFF","2013B",527622,526738,43,1
"BBB","2013B",556865,542894,139,1
"FFF","2013B",546912,526721,188,1
"DDD","2013B",556308,547303,52,1
"FFF","2013B",550763,526839,-9,2
"DDD","2013B",2195445,547712,-16,1
"DDD","2013B",137603,547931,169,1
"FFF","2013B",551212,526738,129,5
"BBB","2013B",555838,542797,81,1
"FFF","2013B",558801,526721,4,4
"FFF","2013B",1919940,526721,-17,3
"BBB","2013B",539265,542864,191,2
"FFF","2013B",544295,526751,55,2
"FFF","2013B",438452,526738,127,1
"DDD","2013B",551375,547966,127,1
"BBB","2013B",534086,542864,20,10
"BBB","2013B",377759,542802,184,2
"FFF","2013B",560410,527437,24,1
"BBB","2013B",559744,542895,181,1
"DDD","2013B",287432,547857,147,2
"FFF","2013B",550470,526738,152,4
"FFF","2013B",427348,527187,130,1
"DDD","2013B",248994,547947,195,1
"BBB","2013B",559603,542864,39,2
"FFF","2013B",552491,527420,196,1
"DDD","2013B",546089,547303,130,1
"FFF","2013B",1882255,527113,68,1
"BBB","2013B",551938,542795,0,3
"DDD","2013B",41060,547958,107,1
"DDD","2013B",435780,547275,23,3
"FFF","2013B",539359,526745,94,1
"DDD","2013B",1664920,547303,77,9
"FFF","2013B",2521655,527113,48,1
"FFF","2013B",1668504,526737,38,4
"FFF","2013B",551805,526743,213,1
"BBB","2013B",2375144,542864,-5,6
"DDD","2013B",540694,547556,32,4
"DDD","2013B",957467,547275,226,1
"BBB","2013B",479060,543028,77,1
"BBB","2013B",442012,542864,80,1
"FFF","2013B",2436873,526755,1,1
"BBB","2013B",554930,542811,7,1
"DDD","2013B",1906919,547895,74,2
"DDD","2013B",348790,547797,17,1
"FFF","2013B",381365,526738,29,1
"BBB","2013B",498296,543037,92,1
"BBB","2013B",555309,542864,42,3
"BBB","2013B",540184,542807,100,24
"DDD","2013B",270814,547556,8,5
"DDD","2013B",270814,547272,146,2
"FFF","2013B",560072,527398,15,1
"FFF","2013B",534064,526721,20,6
"BBB","2013B",558373,543020,-9,1
"BBB","2013B",443288,542864,85,5
"DDD","2013B",548069,547303,83,2
"FFF","2013B",559440,526738,152,16
"DDD","2013B",2636225,547761,137,1
"FFF","2013B",541418,526835,70,3
"FFF","2013B",540997,526738,5,10
"BBB","2013B",511306,542795,153,1
"DDD","2013B",521755,547272,18,1
"FFF","2013B",482071,527112,216,73
"FFF","2013B",505508,526721,119,12
"FFF","2013B",267602,526742,132,4
"BBB","2013B",511515,542891,45,5
"DDD","2013B",483818,547308,203,2
"DDD","2013B",550142,547954,85,1
"FFF","2013B",2434017,527179,74,1
"FFF","2013B",555444,527218,-16,1
"FFF","2013B",203050,527113,143,1
"FFF","2013B",118532,527183,104,1
"DDD","2013B",524378,547303,226,5
"DDD","2013B",469016,547923,137,1
"DDD","2013B",1577134,547303,168,2
"FFF","2013B",2231810,526737,41,5
"FFF","2013B",467854,527261,120,1
"DDD","2013B",298040,547303,193,4
"FFF","2013B",2436873,527388,19,1
"FFF","2013B",282879,526721,102,3
"FFF","2013B",550763,527203,-6,9
"BBB","2013B",552007,542811,9,1
"DDD","2013B",528846,547640,23,2
"FFF","2013B",43430,527167,138,9
"FFF","2013B",556924,527176,65,4
"DDD","2013B",2146936,547967,106,1
"DDD","2013B",537926,547937,80,1
"BBB","2013B",514140,542811,35,2
"BBB","2013B",559452,542808,2,1
"FFF","2013B",530344,527186,138,4
"FFF","2013B",441954,526738,212,1
"FFF","2013B",350660,526721,124,5
"FFF","2013B",467700,526855,14,1
"FFF","2013B",494443,527114,46,1
"FFF","2013B",560046,527197,3,2
"DDD","2013B",391185,547730,170,4
"FFF","2013B",307689,527261,130,2
